language,parameter_id,parameter_name,value_number,value_name
Maipure,81A,"Order of Subject, Object and Verb",2,SVO
Maipure,85A,Order of Adposition and Noun Phrase,1,Postpositions
Betoi,85A,Order of Adposition and Noun Phrase,1,Postpositions
Gamo,81A,"Order of Subject, Object and Verb",1,SOV
Gamo,85A,Order of Adposition and Noun Phrase,1,Postpositions
Uyghur,81A,"Order of Subject, Object and Verb",1,SOV
Noghay,81A,"Order of Subject, Object and Verb",1,SOV
Tokelauan,85A,Order of Adposition and Noun Phrase,2,Prepositions
Bao'an,81A,"Order of Subject, Object and Verb",1,SOV
Mongol (Khamnigan),81A,"Order of Subject, Object and Verb",1,SOV
Ordos,81A,"Order of Subject, Object and Verb",1,SOV
Oirat,81A,"Order of Subject, Object and Verb",1,SOV
Moghol,81A,"Order of Subject, Object and Verb",1,SOV
Shira Yughur,85A,Order of Adposition and Noun Phrase,1,Postpositions
Santa,81A,"Order of Subject, Object and Verb",1,SOV
Santa,85A,Order of Adposition and Noun Phrase,1,Postpositions
Goemai,81A,"Order of Subject, Object and Verb",2,SVO
Goemai,85A,Order of Adposition and Noun Phrase,2,Prepositions
Kaluli,81A,"Order of Subject, Object and Verb",1,SOV
Kaluli,85A,Order of Adposition and Noun Phrase,1,Postpositions
Bauzi,81A,"Order of Subject, Object and Verb",1,SOV
Bauzi,85A,Order of Adposition and Noun Phrase,1,Postpositions
Kaki Ae,81A,"Order of Subject, Object and Verb",1,SOV
Musom,81A,"Order of Subject, Object and Verb",2,SVO
Musom,85A,Order of Adposition and Noun Phrase,2,Prepositions
Aribwatsa,81A,"Order of Subject, Object and Verb",2,SVO
Baga Sitemu,81A,"Order of Subject, Object and Verb",2,SVO
Baga Sitemu,85A,Order of Adposition and Noun Phrase,1,Postpositions
Mbodomo,81A,"Order of Subject, Object and Verb",2,SVO
Mbodomo,85A,Order of Adposition and Noun Phrase,2,Prepositions
Mangghuer,81A,"Order of Subject, Object and Verb",1,SOV
Mangghuer,85A,Order of Adposition and Noun Phrase,1,Postpositions
Ngoni,81A,"Order of Subject, Object and Verb",2,SVO
Ngoni,85A,Order of Adposition and Noun Phrase,2,Prepositions
Tarao,81A,"Order of Subject, Object and Verb",1,SOV
Ndebele,81A,"Order of Subject, Object and Verb",2,SVO
Osage,81A,"Order of Subject, Object and Verb",1,SOV
Osage,85A,Order of Adposition and Noun Phrase,1,Postpositions
Massachusett,81A,"Order of Subject, Object and Verb",7,No dominant order
Massachusett,85A,Order of Adposition and Noun Phrase,2,Prepositions
Hmar,85A,Order of Adposition and Noun Phrase,1,Postpositions
Pilagá,81A,"Order of Subject, Object and Verb",2,SVO
Pilagá,85A,Order of Adposition and Noun Phrase,5,No adpositions
Tutelo,81A,"Order of Subject, Object and Verb",1,SOV
Tutelo,85A,Order of Adposition and Noun Phrase,1,Postpositions
Torwali,81A,"Order of Subject, Object and Verb",1,SOV
Torwali,85A,Order of Adposition and Noun Phrase,1,Postpositions
Azari (Iranian),81A,"Order of Subject, Object and Verb",1,SOV
Binandere,81A,"Order of Subject, Object and Verb",1,SOV
Binandere,85A,Order of Adposition and Noun Phrase,1,Postpositions
Konni,81A,"Order of Subject, Object and Verb",2,SVO
Konni,85A,Order of Adposition and Noun Phrase,4,No dominant order
Tirmaga,81A,"Order of Subject, Object and Verb",2,SVO
Tirmaga,85A,Order of Adposition and Noun Phrase,1,Postpositions
Tiriyo,81A,"Order of Subject, Object and Verb",5,OVS
Tiriyo,85A,Order of Adposition and Noun Phrase,1,Postpositions
Lunda,81A,"Order of Subject, Object and Verb",2,SVO
Lunda,85A,Order of Adposition and Noun Phrase,2,Prepositions
Ogbronuagum,81A,"Order of Subject, Object and Verb",2,SVO
Ogbronuagum,85A,Order of Adposition and Noun Phrase,2,Prepositions
Yingkarta,81A,"Order of Subject, Object and Verb",2,SVO
Matsés,81A,"Order of Subject, Object and Verb",1,SOV
Matsés,85A,Order of Adposition and Noun Phrase,1,Postpositions
Chambri,81A,"Order of Subject, Object and Verb",1,SOV
Suki,81A,"Order of Subject, Object and Verb",1,SOV
Gogodala,81A,"Order of Subject, Object and Verb",1,SOV
Kambot,81A,"Order of Subject, Object and Verb",1,SOV
Kambot,85A,Order of Adposition and Noun Phrase,1,Postpositions
Zimakani,81A,"Order of Subject, Object and Verb",1,SOV
Riantana,81A,"Order of Subject, Object and Verb",1,SOV
