language,parameter_id,parameter_name,value_number,value_name
Linda,85A,Order of Adposition and Noun Phrase,2,Prepositions
Zande,81A,"Order of Subject, Object and Verb",2,SVO
Zande,85A,Order of Adposition and Noun Phrase,2,Prepositions
Nzakara,81A,"Order of Subject, Object and Verb",2,SVO
Nzakara,85A,Order of Adposition and Noun Phrase,2,Prepositions
Barambu,81A,"Order of Subject, Object and Verb",7,No dominant order
Barambu,85A,Order of Adposition and Noun Phrase,2,Prepositions
Ma,81A,"Order of Subject, Object and Verb",2,SVO
Dongo,81A,"Order of Subject, Object and Verb",7,No dominant order
Mondunga,81A,"Order of Subject, Object and Verb",2,SVO
Mondunga,85A,Order of Adposition and Noun Phrase,2,Prepositions
Mba,81A,"Order of Subject, Object and Verb",2,SVO
Akan,81A,"Order of Subject, Object and Verb",2,SVO
Akan,85A,Order of Adposition and Noun Phrase,4,No dominant order
Anyi,81A,"Order of Subject, Object and Verb",2,SVO
Baoulé,81A,"Order of Subject, Object and Verb",2,SVO
Baoulé,85A,Order of Adposition and Noun Phrase,1,Postpositions
Nkonya,81A,"Order of Subject, Object and Verb",2,SVO
Nkonya,85A,Order of Adposition and Noun Phrase,1,Postpositions
Lelemi,81A,"Order of Subject, Object and Verb",2,SVO
Lelemi,85A,Order of Adposition and Noun Phrase,1,Postpositions
Kposo,85A,Order of Adposition and Noun Phrase,1,Postpositions
Ega,81A,"Order of Subject, Object and Verb",2,SVO
Gã,81A,"Order of Subject, Object and Verb",2,SVO
Ewe,81A,"Order of Subject, Object and Verb",2,SVO
Ewe,85A,Order of Adposition and Noun Phrase,1,Postpositions
Fongbe,81A,"Order of Subject, Object and Verb",2,SVO
Fongbe,85A,Order of Adposition and Noun Phrase,4,No dominant order
Adioukrou,81A,"Order of Subject, Object and Verb",2,SVO
Adioukrou,85A,Order of Adposition and Noun Phrase,1,Postpositions
Ebira,81A,"Order of Subject, Object and Verb",2,SVO
Nupe,81A,"Order of Subject, Object and Verb",2,SVO
Nupe,85A,Order of Adposition and Noun Phrase,2,Prepositions
Gwari,81A,"Order of Subject, Object and Verb",7,No dominant order
Gwari,85A,Order of Adposition and Noun Phrase,4,No dominant order
Yoruba,81A,"Order of Subject, Object and Verb",2,SVO
Yoruba,85A,Order of Adposition and Noun Phrase,2,Prepositions
Idoma,81A,"Order of Subject, Object and Verb",7,No dominant order
Igede,81A,"Order of Subject, Object and Verb",2,SVO
Bini,81A,"Order of Subject, Object and Verb",2,SVO
Bini,85A,Order of Adposition and Noun Phrase,2,Prepositions
Engenni,81A,"Order of Subject, Object and Verb",2,SVO
Engenni,85A,Order of Adposition and Noun Phrase,2,Prepositions
Degema,81A,"Order of Subject, Object and Verb",2,SVO
Igbo,81A,"Order of Subject, Object and Verb",2,SVO
Igbo,85A,Order of Adposition and Noun Phrase,2,Prepositions
Izi,81A,"Order of Subject, Object and Verb",2,SVO
Izi,85A,Order of Adposition and Noun Phrase,2,Prepositions
Jukun,81A,"Order of Subject, Object and Verb",2,SVO
Jukun,85A,Order of Adposition and Noun Phrase,2,Prepositions
Birom,81A,"Order of Subject, Object and Verb",2,SVO
Birom,85A,Order of Adposition and Noun Phrase,2,Prepositions
Fyem,81A,"Order of Subject, Object and Verb",2,SVO
Fyem,85A,Order of Adposition and Noun Phrase,2,Prepositions
Gworok,81A,"Order of Subject, Object and Verb",2,SVO
Gworok,85A,Order of Adposition and Noun Phrase,2,Prepositions
Obolo,81A,"Order of Subject, Object and Verb",2,SVO
Obolo,85A,Order of Adposition and Noun Phrase,2,Prepositions
Kana,81A,"Order of Subject, Object and Verb",2,SVO
Kana,85A,Order of Adposition and Noun Phrase,2,Prepositions
Gokana,81A,"Order of Subject, Object and Verb",2,SVO
Gokana,85A,Order of Adposition and Noun Phrase,2,Prepositions
Duka,81A,"Order of Subject, Object and Verb",2,SVO
Duka,85A,Order of Adposition and Noun Phrase,2,Prepositions
Mambila,81A,"Order of Subject, Object and Verb",2,SVO
Tiv,81A,"Order of Subject, Object and Verb",2,SVO
Tiv,85A,Order of Adposition and Noun Phrase,2,Prepositions
Izere,81A,"Order of Subject, Object and Verb",2,SVO
Izere,85A,Order of Adposition and Noun Phrase,2,Prepositions
Nkem,81A,"Order of Subject, Object and Verb",2,SVO
Mungaka,81A,"Order of Subject, Object and Verb",2,SVO
Bafut,81A,"Order of Subject, Object and Verb",2,SVO
Bafut,85A,Order of Adposition and Noun Phrase,2,Prepositions
Mbili,81A,"Order of Subject, Object and Verb",2,SVO
Aghem,81A,"Order of Subject, Object and Verb",2,SVO
Babungo,81A,"Order of Subject, Object and Verb",2,SVO
Babungo,85A,Order of Adposition and Noun Phrase,2,Prepositions
Noni,81A,"Order of Subject, Object and Verb",2,SVO
Noni,85A,Order of Adposition and Noun Phrase,4,No dominant order
Londo,81A,"Order of Subject, Object and Verb",2,SVO
Londo,85A,Order of Adposition and Noun Phrase,2,Prepositions
Bakueri,81A,"Order of Subject, Object and Verb",2,SVO
Duala,81A,"Order of Subject, Object and Verb",2,SVO
Bubi,81A,"Order of Subject, Object and Verb",2,SVO
Benga,85A,Order of Adposition and Noun Phrase,2,Prepositions
Bankon,81A,"Order of Subject, Object and Verb",2,SVO
Bankon,85A,Order of Adposition and Noun Phrase,2,Prepositions
Tunen,81A,"Order of Subject, Object and Verb",1,SOV
Tunen,85A,Order of Adposition and Noun Phrase,4,No dominant order
Bafia,85A,Order of Adposition and Noun Phrase,2,Prepositions
Tuki,81A,"Order of Subject, Object and Verb",2,SVO
Ewondo,81A,"Order of Subject, Object and Verb",2,SVO
Ewondo,85A,Order of Adposition and Noun Phrase,2,Prepositions
Tsogo,85A,Order of Adposition and Noun Phrase,2,Prepositions
Sangu,81A,"Order of Subject, Object and Verb",2,SVO
Duma,81A,"Order of Subject, Object and Verb",2,SVO
Mbere,81A,"Order of Subject, Object and Verb",2,SVO
Mbere,85A,Order of Adposition and Noun Phrase,2,Prepositions
Ndumu,81A,"Order of Subject, Object and Verb",2,SVO
Ndumu,85A,Order of Adposition and Noun Phrase,2,Prepositions
Ifumu,85A,Order of Adposition and Noun Phrase,2,Prepositions
Ding,85A,Order of Adposition and Noun Phrase,2,Prepositions
Babole,81A,"Order of Subject, Object and Verb",2,SVO
Babole,85A,Order of Adposition and Noun Phrase,2,Prepositions
Bobangi,81A,"Order of Subject, Object and Verb",2,SVO
Bobangi,85A,Order of Adposition and Noun Phrase,2,Prepositions
Sengele,81A,"Order of Subject, Object and Verb",2,SVO
Sengele,85A,Order of Adposition and Noun Phrase,2,Prepositions
Ntomba,81A,"Order of Subject, Object and Verb",2,SVO
Bolia,81A,"Order of Subject, Object and Verb",2,SVO
Bolia,85A,Order of Adposition and Noun Phrase,2,Prepositions
Lingala,81A,"Order of Subject, Object and Verb",2,SVO
Ngombe,81A,"Order of Subject, Object and Verb",2,SVO
Bwele,81A,"Order of Subject, Object and Verb",2,SVO
Bwele,85A,Order of Adposition and Noun Phrase,2,Prepositions
Lebeo,81A,"Order of Subject, Object and Verb",2,SVO
Lebeo,85A,Order of Adposition and Noun Phrase,2,Prepositions
Mongo,81A,"Order of Subject, Object and Verb",2,SVO
Mongo,85A,Order of Adposition and Noun Phrase,2,Prepositions
Bushoong,81A,"Order of Subject, Object and Verb",2,SVO
Bushoong,85A,Order of Adposition and Noun Phrase,2,Prepositions
Holoholo,81A,"Order of Subject, Object and Verb",2,SVO
Kikuyu,81A,"Order of Subject, Object and Verb",2,SVO
Kikuyu,85A,Order of Adposition and Noun Phrase,2,Prepositions
Kamba,81A,"Order of Subject, Object and Verb",2,SVO
Chaga,81A,"Order of Subject, Object and Verb",2,SVO
Sukuma,81A,"Order of Subject, Object and Verb",2,SVO
Nyamwezi,81A,"Order of Subject, Object and Verb",7,No dominant order
Rimi,81A,"Order of Subject, Object and Verb",2,SVO
Langi,81A,"Order of Subject, Object and Verb",2,SVO
Langi,85A,Order of Adposition and Noun Phrase,2,Prepositions
Kagulu,85A,Order of Adposition and Noun Phrase,2,Prepositions
Shambala,81A,"Order of Subject, Object and Verb",2,SVO
Pare,81A,"Order of Subject, Object and Verb",2,SVO
Pare,85A,Order of Adposition and Noun Phrase,2,Prepositions
Kami,85A,Order of Adposition and Noun Phrase,2,Prepositions
Swahili,81A,"Order of Subject, Object and Verb",2,SVO
Swahili,85A,Order of Adposition and Noun Phrase,2,Prepositions
Pogoro,81A,"Order of Subject, Object and Verb",2,SVO
Pogoro,85A,Order of Adposition and Noun Phrase,2,Prepositions
Hehe,81A,"Order of Subject, Object and Verb",2,SVO
Hehe,85A,Order of Adposition and Noun Phrase,2,Prepositions
Bena-Lulua,85A,Order of Adposition and Noun Phrase,2,Prepositions
Pangwa,81A,"Order of Subject, Object and Verb",2,SVO
Pangwa,85A,Order of Adposition and Noun Phrase,2,Prepositions
Kinga,81A,"Order of Subject, Object and Verb",2,SVO
Kinga,85A,Order of Adposition and Noun Phrase,2,Prepositions
Kongo,81A,"Order of Subject, Object and Verb",2,SVO
Kongo,85A,Order of Adposition and Noun Phrase,2,Prepositions
Luganda,85A,Order of Adposition and Noun Phrase,2,Prepositions
Nkore-Kiga,81A,"Order of Subject, Object and Verb",2,SVO
Nkore-Kiga,85A,Order of Adposition and Noun Phrase,2,Prepositions
Runyankore,81A,"Order of Subject, Object and Verb",2,SVO
Runyankore,85A,Order of Adposition and Noun Phrase,2,Prepositions
Runyoro-Rutooro,81A,"Order of Subject, Object and Verb",2,SVO
Haya,81A,"Order of Subject, Object and Verb",2,SVO
Haya,85A,Order of Adposition and Noun Phrase,2,Prepositions
Talinga,81A,"Order of Subject, Object and Verb",2,SVO
Talinga,85A,Order of Adposition and Noun Phrase,2,Prepositions
Nande,85A,Order of Adposition and Noun Phrase,2,Prepositions
Hunde,81A,"Order of Subject, Object and Verb",2,SVO
Kinyarwanda,81A,"Order of Subject, Object and Verb",2,SVO
Kinyarwanda,85A,Order of Adposition and Noun Phrase,2,Prepositions
Lucazi,81A,"Order of Subject, Object and Verb",2,SVO
Luvale,81A,"Order of Subject, Object and Verb",2,SVO
Luvale,85A,Order of Adposition and Noun Phrase,2,Prepositions
Kwangali,81A,"Order of Subject, Object and Verb",2,SVO
Kwangali,85A,Order of Adposition and Noun Phrase,2,Prepositions
Kete,81A,"Order of Subject, Object and Verb",2,SVO
Kete,85A,Order of Adposition and Noun Phrase,2,Prepositions
Songe,85A,Order of Adposition and Noun Phrase,2,Prepositions
Kiluba,81A,"Order of Subject, Object and Verb",2,SVO
Kiluba,85A,Order of Adposition and Noun Phrase,2,Prepositions
Hemba,81A,"Order of Subject, Object and Verb",2,SVO
Hemba,85A,Order of Adposition and Noun Phrase,2,Prepositions
Tabwa,81A,"Order of Subject, Object and Verb",2,SVO
Tabwa,85A,Order of Adposition and Noun Phrase,2,Prepositions
Lamba,81A,"Order of Subject, Object and Verb",7,No dominant order
Lamba,85A,Order of Adposition and Noun Phrase,2,Prepositions
Ila,81A,"Order of Subject, Object and Verb",2,SVO
Ila,85A,Order of Adposition and Noun Phrase,2,Prepositions
Chichewa,81A,"Order of Subject, Object and Verb",2,SVO
Chichewa,85A,Order of Adposition and Noun Phrase,2,Prepositions
Nsenga,81A,"Order of Subject, Object and Verb",2,SVO
Nsenga,85A,Order of Adposition and Noun Phrase,2,Prepositions
Sena,85A,Order of Adposition and Noun Phrase,2,Prepositions
Matuumbi,81A,"Order of Subject, Object and Verb",2,SVO
Yao (in Malawi),81A,"Order of Subject, Object and Verb",2,SVO
Mwera,81A,"Order of Subject, Object and Verb",2,SVO
Mwera,85A,Order of Adposition and Noun Phrase,5,No adpositions
Makonde,81A,"Order of Subject, Object and Verb",2,SVO
Makua,81A,"Order of Subject, Object and Verb",2,SVO
Makua,85A,Order of Adposition and Noun Phrase,2,Prepositions
Ekoti,81A,"Order of Subject, Object and Verb",2,SVO
Ndonga,81A,"Order of Subject, Object and Verb",2,SVO
Ndonga,85A,Order of Adposition and Noun Phrase,2,Prepositions
Mbalanhu,81A,"Order of Subject, Object and Verb",2,SVO
Shona,81A,"Order of Subject, Object and Verb",2,SVO
Shona,85A,Order of Adposition and Noun Phrase,2,Prepositions
Venda,81A,"Order of Subject, Object and Verb",2,SVO
Sotho (Northern),81A,"Order of Subject, Object and Verb",2,SVO
Sesotho,81A,"Order of Subject, Object and Verb",2,SVO
Sesotho,85A,Order of Adposition and Noun Phrase,2,Prepositions
Xhosa,81A,"Order of Subject, Object and Verb",2,SVO
Xhosa,85A,Order of Adposition and Noun Phrase,2,Prepositions
Zulu,81A,"Order of Subject, Object and Verb",2,SVO
Zulu,85A,Order of Adposition and Noun Phrase,2,Prepositions
Swati,81A,"Order of Subject, Object and Verb",7,No dominant order
Ronga,81A,"Order of Subject, Object and Verb",2,SVO
Ronga,85A,Order of Adposition and Noun Phrase,2,Prepositions
Laal,81A,"Order of Subject, Object and Verb",2,SVO
Laal,85A,Order of Adposition and Noun Phrase,2,Prepositions
Kadugli,81A,"Order of Subject, Object and Verb",2,SVO
Katcha,81A,"Order of Subject, Object and Verb",2,SVO
Krongo,81A,"Order of Subject, Object and Verb",3,VSO
Koyraboro Senni,81A,"Order of Subject, Object and Verb",1,SOV
Koyraboro Senni,85A,Order of Adposition and Noun Phrase,1,Postpositions
Koyra Chiini,81A,"Order of Subject, Object and Verb",2,SVO
Koyra Chiini,85A,Order of Adposition and Noun Phrase,1,Postpositions
Zarma,81A,"Order of Subject, Object and Verb",7,No dominant order
Zarma,85A,Order of Adposition and Noun Phrase,1,Postpositions
Kanuri,81A,"Order of Subject, Object and Verb",1,SOV
Kanuri,85A,Order of Adposition and Noun Phrase,1,Postpositions
Kanembu,81A,"Order of Subject, Object and Verb",1,SOV
Tubu,81A,"Order of Subject, Object and Verb",1,SOV
Tubu,85A,Order of Adposition and Noun Phrase,1,Postpositions
Maba,81A,"Order of Subject, Object and Verb",1,SOV
Maba,85A,Order of Adposition and Noun Phrase,1,Postpositions
Masalit,81A,"Order of Subject, Object and Verb",1,SOV
Runga,81A,"Order of Subject, Object and Verb",1,SOV
Runga,85A,Order of Adposition and Noun Phrase,1,Postpositions
Fur,81A,"Order of Subject, Object and Verb",1,SOV
Fur,85A,Order of Adposition and Noun Phrase,1,Postpositions
Didinga,81A,"Order of Subject, Object and Verb",3,VSO
Didinga,85A,Order of Adposition and Noun Phrase,2,Prepositions
Murle,81A,"Order of Subject, Object and Verb",3,VSO
Murle,85A,Order of Adposition and Noun Phrase,4,No dominant order
Tennet,81A,"Order of Subject, Object and Verb",3,VSO
Tennet,85A,Order of Adposition and Noun Phrase,4,No dominant order
Majang,81A,"Order of Subject, Object and Verb",3,VSO
Majang,85A,Order of Adposition and Noun Phrase,1,Postpositions
Koegu,81A,"Order of Subject, Object and Verb",2,SVO
Koegu,85A,Order of Adposition and Noun Phrase,2,Prepositions
Me'en,81A,"Order of Subject, Object and Verb",2,SVO
Mursi,81A,"Order of Subject, Object and Verb",2,SVO
Chai,81A,"Order of Subject, Object and Verb",7,No dominant order
Chai,85A,Order of Adposition and Noun Phrase,1,Postpositions
Nara (in Ethiopia),81A,"Order of Subject, Object and Verb",1,SOV
Nara (in Ethiopia),85A,Order of Adposition and Noun Phrase,1,Postpositions
Ingessana,81A,"Order of Subject, Object and Verb",2,SVO
Ingessana,85A,Order of Adposition and Noun Phrase,2,Prepositions
Nyimang,81A,"Order of Subject, Object and Verb",1,SOV
Nyimang,85A,Order of Adposition and Noun Phrase,1,Postpositions
Temein,81A,"Order of Subject, Object and Verb",2,SVO
Tama,81A,"Order of Subject, Object and Verb",1,SOV
Shatt,81A,"Order of Subject, Object and Verb",2,SVO
Sila,81A,"Order of Subject, Object and Verb",1,SOV
Shilluk,81A,"Order of Subject, Object and Verb",2,SVO
Shilluk,85A,Order of Adposition and Noun Phrase,2,Prepositions
Anywa,81A,"Order of Subject, Object and Verb",7,No dominant order
Anywa,85A,Order of Adposition and Noun Phrase,2,Prepositions
Päri,81A,"Order of Subject, Object and Verb",5,OVS
Päri,85A,Order of Adposition and Noun Phrase,2,Prepositions
Luwo,85A,Order of Adposition and Noun Phrase,2,Prepositions
Luo,81A,"Order of Subject, Object and Verb",2,SVO
Luo,85A,Order of Adposition and Noun Phrase,2,Prepositions
Lango,81A,"Order of Subject, Object and Verb",2,SVO
Lango,85A,Order of Adposition and Noun Phrase,2,Prepositions
Acholi,81A,"Order of Subject, Object and Verb",2,SVO
Acholi,85A,Order of Adposition and Noun Phrase,2,Prepositions
Nuer,81A,"Order of Subject, Object and Verb",7,No dominant order
Nuer,85A,Order of Adposition and Noun Phrase,2,Prepositions
Dinka,81A,"Order of Subject, Object and Verb",7,No dominant order
Dinka,85A,Order of Adposition and Noun Phrase,4,No dominant order
Bari,81A,"Order of Subject, Object and Verb",2,SVO
Bari,85A,Order of Adposition and Noun Phrase,2,Prepositions
Maasai,81A,"Order of Subject, Object and Verb",3,VSO
Maasai,85A,Order of Adposition and Noun Phrase,2,Prepositions
Karimojong,81A,"Order of Subject, Object and Verb",3,VSO
Karimojong,85A,Order of Adposition and Noun Phrase,2,Prepositions
Turkana,81A,"Order of Subject, Object and Verb",3,VSO
Turkana,85A,Order of Adposition and Noun Phrase,2,Prepositions
Teso,81A,"Order of Subject, Object and Verb",3,VSO
Teso,85A,Order of Adposition and Noun Phrase,2,Prepositions
Nandi,81A,"Order of Subject, Object and Verb",3,VSO
Nandi,85A,Order of Adposition and Noun Phrase,2,Prepositions
Sebei,81A,"Order of Subject, Object and Verb",3,VSO
Sebei,85A,Order of Adposition and Noun Phrase,2,Prepositions
Pokot,81A,"Order of Subject, Object and Verb",3,VSO
Pokot,85A,Order of Adposition and Noun Phrase,2,Prepositions
Ik,81A,"Order of Subject, Object and Verb",3,VSO
Ik,85A,Order of Adposition and Noun Phrase,2,Prepositions
So,81A,"Order of Subject, Object and Verb",3,VSO
So,85A,Order of Adposition and Noun Phrase,2,Prepositions
Kresh,81A,"Order of Subject, Object and Verb",2,SVO
Kresh,85A,Order of Adposition and Noun Phrase,2,Prepositions
Aja,81A,"Order of Subject, Object and Verb",2,SVO
Aja,85A,Order of Adposition and Noun Phrase,2,Prepositions
Baka (in South Sudan),81A,"Order of Subject, Object and Verb",2,SVO
Baka (in South Sudan),85A,Order of Adposition and Noun Phrase,2,Prepositions
Bongo,81A,"Order of Subject, Object and Verb",2,SVO
Bongo,85A,Order of Adposition and Noun Phrase,2,Prepositions
Jur Mödö,81A,"Order of Subject, Object and Verb",2,SVO
Jur Mödö,85A,Order of Adposition and Noun Phrase,2,Prepositions
Ngambay,81A,"Order of Subject, Object and Verb",2,SVO
Ngambay,85A,Order of Adposition and Noun Phrase,2,Prepositions
Mbay,81A,"Order of Subject, Object and Verb",2,SVO
Mbay,85A,Order of Adposition and Noun Phrase,4,No dominant order
Bagirmi,81A,"Order of Subject, Object and Verb",2,SVO
Bagirmi,85A,Order of Adposition and Noun Phrase,2,Prepositions
Gula (in Central African Republic),81A,"Order of Subject, Object and Verb",2,SVO
Gula (in Central African Republic),85A,Order of Adposition and Noun Phrase,4,No dominant order
Kenga,81A,"Order of Subject, Object and Verb",2,SVO
Kenga,85A,Order of Adposition and Noun Phrase,4,No dominant order
Bagiro,81A,"Order of Subject, Object and Verb",2,SVO
Bagiro,85A,Order of Adposition and Noun Phrase,4,No dominant order
Kara (in Central African Republic),81A,"Order of Subject, Object and Verb",2,SVO
Kara (in Central African Republic),85A,Order of Adposition and Noun Phrase,2,Prepositions
Yulu,81A,"Order of Subject, Object and Verb",2,SVO
Yulu,85A,Order of Adposition and Noun Phrase,2,Prepositions
Moru,81A,"Order of Subject, Object and Verb",7,No dominant order
Moru,85A,Order of Adposition and Noun Phrase,1,Postpositions
Avokaya,81A,"Order of Subject, Object and Verb",7,No dominant order
Avokaya,85A,Order of Adposition and Noun Phrase,1,Postpositions
Lugbara,81A,"Order of Subject, Object and Verb",7,No dominant order
Lugbara,85A,Order of Adposition and Noun Phrase,1,Postpositions
Ma'di,81A,"Order of Subject, Object and Verb",7,No dominant order
Ma'di,85A,Order of Adposition and Noun Phrase,1,Postpositions
Mamvu,81A,"Order of Subject, Object and Verb",2,SVO
Mangbetu,81A,"Order of Subject, Object and Verb",2,SVO
Lendu,81A,"Order of Subject, Object and Verb",7,No dominant order
Lendu,85A,Order of Adposition and Noun Phrase,1,Postpositions
Ngiti,81A,"Order of Subject, Object and Verb",7,No dominant order
Ngiti,85A,Order of Adposition and Noun Phrase,1,Postpositions
Berta,81A,"Order of Subject, Object and Verb",2,SVO
Kunama,81A,"Order of Subject, Object and Verb",1,SOV
Kunama,85A,Order of Adposition and Noun Phrase,1,Postpositions
Gumuz,81A,"Order of Subject, Object and Verb",2,SVO
Gumuz,85A,Order of Adposition and Noun Phrase,2,Prepositions
Komo,81A,"Order of Subject, Object and Verb",2,SVO
Shabo,81A,"Order of Subject, Object and Verb",1,SOV
Shabo,85A,Order of Adposition and Noun Phrase,1,Postpositions
Coptic,81A,"Order of Subject, Object and Verb",2,SVO
Coptic,85A,Order of Adposition and Noun Phrase,2,Prepositions
Berber (Siwa),85A,Order of Adposition and Noun Phrase,2,Prepositions
Tashlhiyt,81A,"Order of Subject, Object and Verb",7,No dominant order
Berber (Ayt Seghrouchen Middle Atlas),85A,Order of Adposition and Noun Phrase,2,Prepositions
Kabyle,81A,"Order of Subject, Object and Verb",3,VSO
Kabyle,85A,Order of Adposition and Noun Phrase,2,Prepositions
Tuareg (Ghat),85A,Order of Adposition and Noun Phrase,2,Prepositions
Berber (Rif),81A,"Order of Subject, Object and Verb",2,SVO
Berber (Rif),85A,Order of Adposition and Noun Phrase,2,Prepositions
Berber (Figuig),81A,"Order of Subject, Object and Verb",3,VSO
Berber (Figuig),85A,Order of Adposition and Noun Phrase,2,Prepositions
Berber (Chaouia),81A,"Order of Subject, Object and Verb",7,No dominant order
Berber (Mzab),85A,Order of Adposition and Noun Phrase,2,Prepositions
Tuareg (Air),85A,Order of Adposition and Noun Phrase,2,Prepositions
Zenaga,85A,Order of Adposition and Noun Phrase,2,Prepositions
Masa,81A,"Order of Subject, Object and Verb",2,SVO
Masa,85A,Order of Adposition and Noun Phrase,2,Prepositions
Lele,81A,"Order of Subject, Object and Verb",2,SVO
Lele,85A,Order of Adposition and Noun Phrase,2,Prepositions
Kera,81A,"Order of Subject, Object and Verb",2,SVO
Kera,85A,Order of Adposition and Noun Phrase,2,Prepositions
Mokilko,85A,Order of Adposition and Noun Phrase,2,Prepositions
Migama,85A,Order of Adposition and Noun Phrase,2,Prepositions
Bidiya,81A,"Order of Subject, Object and Verb",2,SVO
Bidiya,85A,Order of Adposition and Noun Phrase,2,Prepositions
Tera,81A,"Order of Subject, Object and Verb",2,SVO
Tera,85A,Order of Adposition and Noun Phrase,2,Prepositions
Ga'anda,85A,Order of Adposition and Noun Phrase,2,Prepositions
Margi,81A,"Order of Subject, Object and Verb",2,SVO
Margi,85A,Order of Adposition and Noun Phrase,2,Prepositions
Lamang,81A,"Order of Subject, Object and Verb",3,VSO
Lamang,85A,Order of Adposition and Noun Phrase,2,Prepositions
Hdi,81A,"Order of Subject, Object and Verb",3,VSO
Malgwa,81A,"Order of Subject, Object and Verb",2,SVO
Malgwa,85A,Order of Adposition and Noun Phrase,2,Prepositions
Podoko,81A,"Order of Subject, Object and Verb",3,VSO
Podoko,85A,Order of Adposition and Noun Phrase,2,Prepositions
Mofu-Gudur,81A,"Order of Subject, Object and Verb",2,SVO
Mofu-Gudur,85A,Order of Adposition and Noun Phrase,2,Prepositions
Mada (in Cameroon),81A,"Order of Subject, Object and Verb",2,SVO
Uldeme,81A,"Order of Subject, Object and Verb",2,SVO
Uldeme,85A,Order of Adposition and Noun Phrase,2,Prepositions
Gude,81A,"Order of Subject, Object and Verb",3,VSO
Gude,85A,Order of Adposition and Noun Phrase,2,Prepositions
Musgu,81A,"Order of Subject, Object and Verb",2,SVO
Musgu,85A,Order of Adposition and Noun Phrase,2,Prepositions
Mbara,81A,"Order of Subject, Object and Verb",2,SVO
Mbara,85A,Order of Adposition and Noun Phrase,4,No dominant order
Buduma,81A,"Order of Subject, Object and Verb",2,SVO
Buduma,85A,Order of Adposition and Noun Phrase,2,Prepositions
Lagwan,81A,"Order of Subject, Object and Verb",2,SVO
Lagwan,85A,Order of Adposition and Noun Phrase,2,Prepositions
Hausa,81A,"Order of Subject, Object and Verb",2,SVO
Hausa,85A,Order of Adposition and Noun Phrase,2,Prepositions
Kanakuru,81A,"Order of Subject, Object and Verb",2,SVO
Kanakuru,85A,Order of Adposition and Noun Phrase,2,Prepositions
Tangale,81A,"Order of Subject, Object and Verb",2,SVO
Pero,81A,"Order of Subject, Object and Verb",2,SVO
Pero,85A,Order of Adposition and Noun Phrase,2,Prepositions
Kwami,85A,Order of Adposition and Noun Phrase,2,Prepositions
Angas,81A,"Order of Subject, Object and Verb",2,SVO
Angas,85A,Order of Adposition and Noun Phrase,2,Prepositions
Mupun,81A,"Order of Subject, Object and Verb",2,SVO
Mupun,85A,Order of Adposition and Noun Phrase,2,Prepositions
Ron,81A,"Order of Subject, Object and Verb",2,SVO
Ngizim,81A,"Order of Subject, Object and Verb",2,SVO
Ngizim,85A,Order of Adposition and Noun Phrase,2,Prepositions
Pa'a,81A,"Order of Subject, Object and Verb",2,SVO
Pa'a,85A,Order of Adposition and Noun Phrase,2,Prepositions
Miya,81A,"Order of Subject, Object and Verb",7,No dominant order
Miya,85A,Order of Adposition and Noun Phrase,2,Prepositions
Aari,85A,Order of Adposition and Noun Phrase,1,Postpositions
Dime,81A,"Order of Subject, Object and Verb",1,SOV
Dime,85A,Order of Adposition and Noun Phrase,1,Postpositions
Gimira,81A,"Order of Subject, Object and Verb",1,SOV
Gimira,85A,Order of Adposition and Noun Phrase,1,Postpositions
Wolaytta,81A,"Order of Subject, Object and Verb",1,SOV
Zayse,81A,"Order of Subject, Object and Verb",1,SOV
Beja,81A,"Order of Subject, Object and Verb",1,SOV
Beja,85A,Order of Adposition and Noun Phrase,1,Postpositions
Kemant,81A,"Order of Subject, Object and Verb",1,SOV
Kemant,85A,Order of Adposition and Noun Phrase,1,Postpositions
Bilin,81A,"Order of Subject, Object and Verb",7,No dominant order
Bilin,85A,Order of Adposition and Noun Phrase,1,Postpositions
Qafar,81A,"Order of Subject, Object and Verb",1,SOV
Qafar,85A,Order of Adposition and Noun Phrase,1,Postpositions
Dhaasanac,81A,"Order of Subject, Object and Verb",1,SOV
Arbore,81A,"Order of Subject, Object and Verb",1,SOV
Somali,81A,"Order of Subject, Object and Verb",1,SOV
Somali,85A,Order of Adposition and Noun Phrase,4,No dominant order
Oromo (Harar),81A,"Order of Subject, Object and Verb",1,SOV
Oromo (Harar),85A,Order of Adposition and Noun Phrase,1,Postpositions
Oromo (Waata),81A,"Order of Subject, Object and Verb",1,SOV
Oromo (Waata),85A,Order of Adposition and Noun Phrase,1,Postpositions
Iraqw,81A,"Order of Subject, Object and Verb",1,SOV
Iraqw,85A,Order of Adposition and Noun Phrase,2,Prepositions
Burunge,81A,"Order of Subject, Object and Verb",2,SVO
Burunge,85A,Order of Adposition and Noun Phrase,4,No dominant order
Chaldean (Modern),85A,Order of Adposition and Noun Phrase,2,Prepositions
Neo-Aramaic (Arbel Jewish),81A,"Order of Subject, Object and Verb",1,SOV
Neo-Aramaic (Arbel Jewish),85A,Order of Adposition and Noun Phrase,2,Prepositions
Hebrew (Modern),81A,"Order of Subject, Object and Verb",2,SVO
Hebrew (Modern),85A,Order of Adposition and Noun Phrase,2,Prepositions
Arabic (Egyptian),81A,"Order of Subject, Object and Verb",2,SVO
Arabic (Egyptian),85A,Order of Adposition and Noun Phrase,2,Prepositions
Arabic (Gulf),81A,"Order of Subject, Object and Verb",2,SVO
