time,iso,f1,f2,f3,f4,f5
3,PCN,2.0,2.0,2.0,3.0,3.0
3,POL,2.0,2.0,6.0,0.0,5.0
3,PRT,7.0,2.0,4.0,3.0,3.0
3,PRI,2.0,2.0,2.0,3.0,3.0
3,QAT,0.0,0.0,0.0,0.0,0.0
3,REU,2.0,2.0,1.0,2.0,3.0
3,ROM,2.0,2.0,6.0,3.0,4.0
3,RUS,2.0,2.0,6.0,3.0,4.0
3,RWA,2.0,2.0,1.0,2.0,3.0
3,SHN,2.0,2.0,2.0,3.0,3.0
3,KNA,2.0,2.0,2.0,3.0,3.0
3,LCA,2.0,2.0,2.0,3.0,3.0
3,VCT,2.0,2.0,2.0,3.0,3.0
3,WSM,7.0,2.0,0.0,0.0,0.0
3,SMR,7.0,2.0,4.0,3.0,3.0
3,STP,2.0,2.0,0.0,0.0,0.0
3,SAU,0.0,0.0,0.0,0.0,0.0
3,SEN,2.0,2.0,1.0,2.0,3.0
3,YUG,2.0,2.0,2.0,0.0,3.0
3,SYC,2.0,2.0,2.0,3.0,3.0
3,SLE,2.0,2.0,2.0,3.0,3.0
3,SGP,0.0,0.0,0.0,0.0,0.0
3,SVK,7.0,2.0,4.0,3.0,3.0
3,SVN,7.0,2.0,4.0,3.0,3.0
3,SLB,2.0,2.0,2.0,3.0,3.0
3,SOM,1.0,4.0,2.0,2.0,4.0
3,ZAF,2.0,2.0,2.0,3.0,3.0
3,ZAF,2.0,2.0,2.0,3.0,3.0
3,ESP,7.0,2.0,4.0,3.0,3.0
3,LKA,1.0,1.0,5.0,0.0,3.0
3,SPM,2.0,2.0,1.0,2.0,3.0
3,SDN,0.0,0.0,0.0,0.0,0.0
3,SUR,7.0,2.0,1.0,0.0,0.0
3,SWZ,7.0,0.0,0.0,0.0,0.0
3,SWE,2.0,2.0,2.0,0.0,0.0
3,CHE,7.0,2.0,4.0,3.0,3.0
3,SYR,1.0,1.0,6.0,1.0,3.0
3,TWN,0.0,0.0,0.0,0.0,0.0
3,TJK,1.0,2.0,2.0,1.0,3.0
3,TZA,2.0,2.0,2.0,3.0,3.0
3,TZA,2.0,2.0,2.0,3.0,3.0
3,THA,2.0,2.0,1.0,1.0,3.0
3,TGO,2.0,2.0,1.0,2.0,3.0
3,TKL,0.0,2.0,0.0,0.0,0.0
3,TON,7.0,2.0,0.0,0.0,0.0
3,TTO,2.0,2.0,2.0,3.0,3.0
3,TUN,0.0,0.0,0.0,0.0,0.0
3,TUR,0.0,0.0,0.0,0.0,0.0
3,TUR,1.0,1.0,6.0,1.0,3.0
3,TKM,2.0,2.0,6.0,3.0,4.0
3,TCA,2.0,2.0,2.0,3.0,3.0
3,TUV,5.0,2.0,1.0,1.0,0.0
3,UGA,2.0,2.0,2.0,3.0,3.0
3,UKR,2.0,2.0,6.0,3.0,4.0
3,ARE,0.0,0.0,0.0,0.0,0.0
3,GBR,2.0,2.0,2.0,3.0,3.0
3,USA,2.0,2.0,1.0,2.0,3.0
3,USA,2.0,2.0,1.0,2.0,3.0
3,URY,2.0,2.0,1.0,2.0,3.0
3,UZB,1.0,2.0,2.0,1.0,3.0
3,VUT,2.0,2.0,2.0,3.0,3.0
3,VEN,2.0,2.0,1.0,2.0,3.0
3,VNM,2.0,2.0,1.0,1.0,3.0
3,WLF,2.0,2.0,1.0,2.0,3.0
3,ESH,0.0,0.0,0.0,0.0,0.0
3,YEM,0.0,0.0,0.0,0.0,0.0
3,ZMB,2.0,2.0,2.0,3.0,3.0
3,ZWE,2.0,2.0,2.0,3.0,3.0
4,AFG,1.0,2.0,2.0,1.0,3.0
4,ALB,2.0,2.0,0.0,0.0,0.0
4,DZA,0.0,0.0,0.0,0.0,0.0
4,AND,7.0,2.0,4.0,3.0,3.0
4,AGO,2.0,2.0,2.0,3.0,3.0
4,AIA,2.0,2.0,2.0,3.0,3.0
4,ATG,2.0,2.0,2.0,3.0,3.0
4,ARG,2.0,2.0,1.0,2.0,3.0
4,ARM,1.0,1.0,6.0,1.0,3.0
4,ABW,7.0,2.0,1.0,0.0,0.0
4,AUS,2.0,2.0,2.0,3.0,3.0
